"","id","osm_id","pct_census"
"3003",3003,"131769631",0
"3004",3004,"131769632",0
"3005",3005,"131769634",0
"3006",3006,"131769636",0
"3007",3007,"131769638",0
"3008",3008,"131771306",0
"3009",3009,"131771308",0
"3010",3010,"131771311",0
"3011",3011,"131771312",0
"3012",3012,"131771316",0
"3013",3013,"131771317",0
"3014",3014,"131771320",0
"3015",3015,"131771322",0
"3016",3016,"131771327",0
"3017",3017,"131771328",0
"3018",3018,"131771330",0
"3019",3019,"131771333",0
"3020",3020,"131771335",0
"3021",3021,"131771336",0
"3022",3022,"131771340",0
"3023",3023,"131771341",0
"3024",3024,"131771344",0
"3025",3025,"131771346",0
"3026",3026,"131771348",0
"3027",3027,"131771349",0
"3028",3028,"131771350",0
"3029",3029,"131771353",0
"3030",3030,"131771354",0
"3031",3031,"131888742",0
"3032",3032,"131993141",0
"3033",3033,"131993165",0
"3034",3034,"132087812",0
"3035",3035,"132087823",0
"3036",3036,"132089312",0
"3037",3037,"132091138",0
"3038",3038,"132558148",0
"3039",3039,"132558149",0
"3040",3040,"132558150",0
"3041",3041,"132558151",0
"3042",3042,"132558152",0
"3043",3043,"132558153",0
"3044",3044,"132558154",0
"3045",3045,"132558155",0
"3046",3046,"132558156",0
"3047",3047,"132558157",0
"3048",3048,"132558158",0
"3049",3049,"132558159",0
"3050",3050,"132558160",0
"3051",3051,"132558161",0
"3052",3052,"132558162",0
"3053",3053,"132558163",0
"3054",3054,"132558164",0
"3055",3055,"132558165",0
"3056",3056,"132558166",0
"3057",3057,"132558167",0
"3058",3058,"132558168",0
"3059",3059,"132558169",0
"3060",3060,"132558170",0
"3061",3061,"132558172",0
"3062",3062,"132558173",0
"3063",3063,"132558174",0
"3064",3064,"132558175",0
"3065",3065,"132558176",0
"3066",3066,"132558177",0
"3067",3067,"132558178",0
"3068",3068,"132558179",0
"3069",3069,"132558180",0
"3070",3070,"132558181",0
"3071",3071,"132558183",0
"3072",3072,"132558184",0
"3073",3073,"132558185",0
"3074",3074,"132558186",0
"3075",3075,"132558187",0
"3076",3076,"132558188",0
"3077",3077,"132558189",0
"3078",3078,"132558191",0
"3079",3079,"132558192",0
"3080",3080,"132558194",0
"3081",3081,"132558195",0
"3082",3082,"132558196",0
"3083",3083,"132569858",0
"3084",3084,"132572877",23
"3085",3085,"132619141",254
"3086",3086,"132702994",0
"3087",3087,"132703000",0
"3088",3088,"132851734",138
"3089",3089,"133033448",0
"3090",3090,"133036879",0
"3091",3091,"133054847",0
"3092",3092,"133054849",71
"3093",3093,"133054851",77
"3094",3094,"133058841",0
"3095",3095,"133059636",0
"3096",3096,"133142995",0
